,index,sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,Unnamed: 13
284,434,SportsOrganization,LINK,equivClass,,Q4438121,LINK,sports organization,,sandroacoelho,,,,,
285,435,SportsTeam,LINK,equivClass,,Q12973014,LINK,sports team,,sandroacoelho,,,,,
286,437,StadiumOrArena,LINK,equivClass,,Q483110,LINK,stadium,,sandroacoelho,,,,,
287,441,State,LINK,equivClass,,Q107390,LINK,federated state,,sandroacoelho,,,,,
288,442,Store,LINK,equivClass,,Q213441,LINK,shop,,sandroacoelho,,,,,
289,444,Substance,LINK,equivClass,,Q27166344,LINK,substance,,sandroacoelho,,,,,
290,445,SubwayStation,LINK,equivClass,,Q928830,LINK,metro station,,sandroacoelho,,,,,
291,446,Suite,LINK,equivClass,,Q1367530,LINK,Suite,,sandroacoelho,,,,,
292,447,SuperficialAnatomy,LINK,equivClass,,Q3545415,LINK,Superficial anatomy,,sandroacoelho,,,,,
293,448,SurgicalProcedure,LINK,equivClass,,Q15636229,LINK,surgical procedure,,sandroacoelho,,,,,
294,449,Synagogue,LINK,equivClass,,Q34627,LINK,synagogue,,sandroacoelho,,,,,
295,450,TattooParlor,LINK,equivClass,,Q27038997,LINK,tattoo parlor,,sandroacoelho,,,,,
296,451,TaxiStand,LINK,equivClass,,Q1395196,LINK,taxicab stand,,sandroacoelho,,,,,
297,453,TelevisionStation,LINK,equivClass,,Q1616075,LINK,television station,,sandroacoelho,,,,,
298,454,TennisComplex,LINK,equivClass,,Q13380226,LINK,tennis venue,,sandroacoelho,,,,,
299,455,Text,LINK,equivClass,,Q184754,LINK,string,,sandroacoelho,,,,,
300,456,TextDigitalDocument,LINK,equivClass,,Q86920,LINK,text file,,sandroacoelho,,,,,
301,457,TheaterGroup,LINK,equivClass,,Q2416217,LINK,theatre troupe,,sandroacoelho,,,,,
302,458,Thesis,LINK,equivClass,,Q1266946,LINK,thesis,,sandroacoelho,,,,,
305,462,Time,LINK,equivClass,,Q186885,LINK,timestamp,,sandroacoelho,,,,,
306,463,TouristAttraction,LINK,equivClass,,Q570116,LINK,tourist attraction,,sandroacoelho,,,,,
307,464,TouristInformationCenter,LINK,equivClass,,Q1587716,LINK,visitor center,,sandroacoelho,,,,,
308,465,ToyStore,LINK,equivClass,,Q1318959,LINK,Toy store,,sandroacoelho,,,,,
309,466,TrainStation,LINK,equivClass,,Q55488,LINK,train station,,sandroacoelho,,,,,
310,469,TravelAgency,LINK,equivClass,,Q217107,LINK,travel agency,,sandroacoelho,,,,,
311,470,TVEpisode,LINK,equivClass,,Q21191270,LINK,TV series episode,,sandroacoelho,,,,,
313,472,TVSeries,LINK,equivClass,,Q5398426,LINK,television series,,sandroacoelho,,,,,
314,473,URL,LINK,equivClass,,Q42253,LINK,Uniform Resource Locator,,sandroacoelho,,,,,
317,480,Vein,LINK,equivClass,,Q9609,LINK,vein,,sandroacoelho,,,,,
318,481,Vessel,LINK,equivClass,,Q382386,LINK,vessel,,sandroacoelho,,,,,
319,482,VeterinaryCare,LINK,equivClass,,Q170201,LINK,veterinary medicine,,,sandroacoelho,,schema.org defines as a vet's office (place) when wikidata defines the professional service,,
320,484,VideoGame,LINK,equivClass,,Q7889,LINK,video game,,sandroacoelho,,,,,
321,485,VideoGameSeries,LINK,equivClass,,Q7058673,LINK,video game series,,sandroacoelho,,,,,
322,486,VideoObject,LINK,equivClass,,Q34508,LINK,video,,,sandroacoelho,,schema.org defines as a video file when wikidata defines as a electronic medium for the recording,,
323,487,VisualArtwork,LINK,equivClass,,Q4502142,LINK,visual artwork,,sandroacoelho,,,,,
324,488,VitalSign,LINK,equivClass,,Q1067560,LINK,vital signs,,sandroacoelho,,,,,
325,489,Volcano,LINK,equivClass,,Q8072,LINK,volcano,,sandroacoelho,,,,,
326,491,Waterfall,LINK,equivClass,,Q34038,LINK,waterfall,,sandroacoelho,,,,,
327,492,WebApplication,LINK,equivClass,,Q189210,LINK,web application,,sandroacoelho,,,,,
328,493,WebPage,LINK,equivClass,,Q36774,LINK,web page,,sandroacoelho,,,,,
329,494,WebSite,LINK,equivClass,,Q35127,LINK,website,,sandroacoelho,,,,,
330,496,WinAction,LINK,equivClass,,Q50000,LINK,victory,,ppkrauss,,sandroacoelho,schema.org defines victory in a competition while the definition in Wikidata is wide open... But military victory is valid for both.,,
331,497,Winery,LINK,equivClass,,Q156362,LINK,winery,,sandroacoelho,,,,,
332,499,WorkersUnion,LINK,equivClass,,Q178790,LINK,trade union,,sandroacoelho,,,This definition is pending in Schema.org side,,
333,501,Zoo,LINK,equivClass,,Q43501,LINK,zoo,,sandroacoelho,,,,,
334,502,FALSE,LINK,equivClass,,Q5432619,LINK,FALSE,,,sandroacoelho,,out of scope,,
335,503,TRUE,LINK,equivClass,,Q16751793,LINK,TRUE,,,sandroacoelho,,out of scope,,
